City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Cayenne,4.9333,-52.3333,81.09,1,0,0.0,GF,clear sky
80,Avarua,-21.2078,-159.775,75.25,78,100,10.36,CK,overcast clouds
81,Kanpur,26.4667,80.35,95.7,46,12,7.25,IN,few clouds
82,Rorvik,64.8621,11.2373,54.46,84,1,11.48,NO,clear sky
83,Banat,29.4667,77.35,94.23,48,43,10.49,IN,scattered clouds
84,Sitka,57.0531,-135.33,60.55,84,90,3.4,US,overcast clouds
85,Sept-Iles,50.2001,-66.3821,60.8,87,40,4.61,CA,mist
86,Broome,42.2506,-75.833,67.64,82,81,1.01,US,broken clouds
87,Port Alfred,-33.5906,26.891,57.18,89,11,6.33,ZA,few clouds
88,Bengkulu,-3.8004,102.2655,83.16,65,76,3.69,ID,broken clouds
89,Avera,33.194,-82.5271,80.55,66,100,4.85,US,overcast clouds
90,Lasa,46.6166,10.7002,60.37,88,32,3.44,IT,scattered clouds
91,Port Elizabeth,-33.918,25.5701,59.29,88,100,2.3,ZA,overcast clouds
92,Ambilobe,-13.2,49.05,70.23,65,51,5.57,MG,broken clouds
93,Gushikawa,26.3544,127.8686,79.83,94,75,18.41,JP,light rain
94,Saint-Pierre,-21.3393,55.4781,71.91,67,0,11.5,RE,clear sky
95,Kenora,49.8167,-94.4337,61.77,55,20,3.44,CA,few clouds
96,East London,-33.0153,27.9116,59.94,72,0,10.36,ZA,clear sky
97,Karasuk,53.7377,78.0403,65.25,53,73,7.29,RU,broken clouds
98,Sisimiut,66.9395,-53.6735,45.34,76,24,7.43,GL,few clouds
99,Georgetown,5.4112,100.3354,89.55,62,20,10.36,MY,few clouds
100,Balkanabat,39.5108,54.3671,84.0,25,92,10.96,TM,overcast clouds
101,Hobyo,5.3505,48.5268,77.07,76,74,26.4,SO,broken clouds
102,Ossora,59.2353,163.0719,50.74,87,100,4.43,RU,overcast clouds
103,Husavik,66.0449,-17.3389,43.74,98,100,14.18,IS,light rain
104,Amahai,-3.3333,128.9167,81.43,82,86,6.42,ID,light rain
105,Kruisfontein,-34.0033,24.7314,56.88,85,91,3.89,ZA,overcast clouds
106,Takaungu,-3.6837,39.8566,71.87,83,75,14.18,KE,broken clouds
107,Yellowknife,62.456,-114.3525,63.12,55,20,4.61,CA,few clouds
108,Candido De Abreu,-24.5669,-51.3333,58.77,88,8,2.13,BR,clear sky
109,Tateyama,34.9833,139.8667,80.51,81,95,15.19,JP,overcast clouds
110,Thompson,55.7435,-97.8558,57.36,72,100,2.3,CA,overcast clouds
111,Mar Del Plata,-38.0023,-57.5575,39.94,76,0,3.0,AR,clear sky
112,Belen,36.4891,36.2233,69.78,79,2,6.11,TR,clear sky
113,Manta,-0.95,-80.7333,71.38,88,20,11.5,EC,few clouds
