City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Marmarion,38.0484,24.3204,81.57,68,4,9.6,GR,2022-06-28 23:44:14
68,Ribeira Grande,38.5167,-28.7,67.15,92,95,6.44,PT,2022-06-28 23:44:14
69,Khatanga,71.9667,102.5,55.42,42,15,10.71,RU,2022-06-28 23:44:15
70,Port Blair,11.6667,92.75,78.84,94,40,2.3,IN,2022-06-28 23:44:15
71,Sijunjung,-0.6876,100.9537,70.25,91,91,1.86,ID,2022-06-28 23:44:16
72,Qaanaaq,77.484,-69.3632,46.51,52,74,0.18,GL,2022-06-28 23:44:16
73,San Cristobal,7.7669,-72.225,75.38,86,91,1.88,VE,2022-06-28 23:44:17
74,Severo-Kurilsk,50.6789,156.125,46.13,94,100,14.09,RU,2022-06-28 23:44:17
75,Padang,-0.9492,100.3543,73.45,82,58,3.13,ID,2022-06-28 23:44:18
76,Gat,31.61,34.7642,75.81,76,0,3.49,IL,2022-06-28 23:43:02
77,Thompson,55.7435,-97.8558,66.36,39,40,14.97,CA,2022-06-28 23:44:18
78,East London,-33.0153,27.9116,62.15,33,0,5.41,ZA,2022-06-28 23:39:51
79,Asfi,32.2994,-9.2372,67.28,80,0,14.97,MA,2022-06-28 23:44:20
80,Saint-Georges,12.0564,-61.7485,74.88,94,100,32.21,GD,2022-06-28 23:44:20
81,Boguchany,58.3814,97.4531,61.84,71,1,5.14,RU,2022-06-28 23:44:21
82,Sao Joao Da Barra,-21.6403,-41.0511,68.7,75,1,15.03,BR,2022-06-28 23:42:51
83,Narsaq,60.9167,-46.05,57.42,95,100,3.27,GL,2022-06-28 23:44:22
84,Pevek,69.7008,170.3133,37.4,96,100,7.4,RU,2022-06-28 23:44:22
85,Esperance,-33.8667,121.9,57.15,74,95,10.33,AU,2022-06-28 23:44:23
86,Coahuayana,18.7333,-103.6833,85.33,66,92,5.21,MX,2022-06-28 23:44:24
87,Lawton,34.6087,-98.3903,87.71,43,0,12.66,US,2022-06-28 23:39:38
88,Lusambo,-4.9667,23.45,68.31,53,89,2.04,CD,2022-06-28 23:44:24
89,Ostrovnoy,68.0531,39.5131,51.53,73,46,17.13,RU,2022-06-28 23:44:25
90,Lishui,28.4604,119.9103,83.3,81,100,3.29,CN,2022-06-28 23:44:25
91,Saskylakh,71.9167,114.0833,55.29,41,3,9.19,RU,2022-06-28 23:44:26
92,Kruisfontein,-34.0033,24.7314,55.78,38,0,7.36,ZA,2022-06-28 23:44:26
93,Yulara,-25.2406,130.9889,50.92,61,99,8.9,AU,2022-06-28 23:44:27
94,Vestmannaeyjar,63.4427,-20.2734,51.33,90,100,3.8,IS,2022-06-28 23:44:27
95,Merauke,-8.4667,140.3333,78.84,87,100,10.51,ID,2022-06-28 23:45:28
96,Eureka,40.8021,-124.1637,71.2,71,28,8.01,US,2022-06-28 23:45:29
97,Ancud,-41.8697,-73.8203,53.22,93,100,15.93,CL,2022-06-28 23:45:29
98,Port Elizabeth,-33.918,25.5701,58.32,58,0,4.61,ZA,2022-06-28 23:45:18
99,Clyde River,70.4692,-68.5914,35.83,93,100,10.36,CA,2022-06-28 23:44:33
100,Nanortalik,60.1432,-45.2371,45.43,80,100,12.48,GL,2022-06-28 23:45:31
101,Cidreira,-30.1811,-50.2056,62.74,94,100,3.53,BR,2022-06-28 23:45:32
102,Ndioum,16.5129,-14.6471,87.69,24,41,10.22,SN,2022-06-28 23:45:32
103,Tilichiki,60.4667,166.1,56.8,71,40,8.41,RU,2022-06-28 23:45:32
104,Coihaique,-45.5752,-72.0662,39.81,100,100,5.75,CL,2022-06-28 23:41:02
105,Hobart,-42.8794,147.3294,53.22,77,75,9.22,AU,2022-06-28 23:45:33
106,Sarkand,45.41,79.9186,74.23,35,3,8.77,KZ,2022-06-28 23:45:34
107,Grindavik,63.8424,-22.4338,53.55,87,0,11.5,IS,2022-06-28 23:45:35
108,Traverse City,44.7631,-85.6206,80.67,58,100,16.11,US,2022-06-28 23:45:35
109,Srandakan,-7.9386,110.2506,76.66,71,84,4.03,ID,2022-06-28 23:45:36
110,Kodiak,57.79,-152.4072,69.31,52,0,5.75,US,2022-06-28 23:45:36
111,Mehamn,71.0357,27.8492,60.75,88,22,0.0,NO,2022-06-28 23:45:37
112,Bethel,41.3712,-73.414,77.09,57,20,5.75,US,2022-06-28 23:41:46
113,El Seibo,18.7641,-69.0375,83.73,82,44,10.16,DO,2022-06-28 23:45:38
114,Gizo,-8.103,156.8419,82.54,71,76,5.66,SB,2022-06-28 23:45:38
115,Huarmey,-10.0681,-78.1522,64.26,81,10,6.06,PE,2022-06-28 23:45:39
116,Cabatuan,10.8794,122.486,80.08,84,99,8.61,PH,2022-06-28 23:45:39
117,Palora,-1.7,-77.9333,73.51,97,43,2.84,EC,2022-06-28 23:45:40
118,Lodwar,3.1191,35.5973,80.15,45,44,17.98,KE,2022-06-28 23:45:40
119,Yellowknife,62.456,-114.3525,66.72,52,100,16.11,CA,2022-06-28 23:45:41
120,Kavaratti,10.5669,72.642,81.93,78,100,21.39,IN,2022-06-28 23:45:41
121,Passau,48.5712,13.449,67.62,96,100,3.44,DE,2022-06-28 23:45:42
122,Tello,3.0669,-75.1378,86.41,73,12,4.03,CO,2022-06-28 23:45:42
123,Esfahan,32.6572,51.6776,76.64,7,37,6.22,IR,2022-06-28 23:45:43
124,Kloulklubed,7.0419,134.2556,79.3,72,91,9.46,PW,2022-06-28 23:45:43
125,Wahpeton,46.2652,-96.6059,75.92,43,0,10.36,US,2022-06-28 23:45:44
126,Rapid Valley,44.0625,-103.1463,95.32,21,0,18.99,US,2022-06-28 23:45:44
127,Pacific Grove,36.6177,-121.9166,86.23,63,0,11.5,US,2022-06-28 23:45:45
128,Ahipara,-35.1667,173.1667,55.56,85,100,11.25,NZ,2022-06-28 23:45:45
129,Adeje,28.1227,-16.726,68.32,76,75,10.36,ES,2022-06-28 23:45:45
130,Poum,-20.2333,164.0167,75.07,76,24,19.98,NC,2022-06-28 23:45:46
131,Brasilia,-15.7797,-47.9297,67.12,49,0,3.44,BR,2022-06-28 23:41:01
132,Mankera,31.3866,71.4407,98.89,23,3,9.33,PK,2022-06-28 23:45:46
133,Sibolga,1.7427,98.7792,75.54,83,89,3.2,ID,2022-06-28 23:45:47
134,Faanui,-16.4833,-151.75,79.57,75,18,20.36,PF,2022-06-28 23:45:47
135,Guerrero Negro,27.9769,-114.0611,81.03,57,5,15.79,MX,2022-06-28 23:42:31
136,Westport,41.1415,-73.3579,77.76,61,9,4.0,US,2022-06-28 23:45:13
137,Egvekinot,66.3167,-179.1667,36.79,98,100,10.89,RU,2022-06-28 23:45:48
138,Chhoti Sadri,24.3833,74.7,77.4,86,100,13.8,IN,2022-06-28 23:46:49
139,Hirara,24.8,125.2833,84.47,74,75,19.57,JP,2022-06-28 23:46:49
140,Cape Town,-33.9258,18.4232,62.91,49,0,8.05,ZA,2022-06-28 23:43:13
141,Alyangula,-13.8483,136.4192,76.19,62,99,18.57,AU,2022-06-28 23:46:50
142,Kargasok,59.0556,80.8572,53.76,86,100,7.29,RU,2022-06-28 23:46:50
143,Turayf,31.6725,38.6637,75.45,31,0,6.91,SA,2022-06-28 23:46:51
144,Tabou,4.423,-7.3528,77.09,85,55,5.88,CI,2022-06-28 23:46:51
145,Krasnoselkup,65.7,82.4667,49.23,87,100,20.15,RU,2022-06-28 23:46:52
146,Salalah,17.0151,54.0924,84.29,89,100,3.44,OM,2022-06-28 23:46:52
147,Hobyo,5.3505,48.5268,76.55,79,84,23.04,SO,2022-06-28 23:46:53
148,Locri,38.2414,16.2623,83.32,38,1,10.13,IT,2022-06-28 23:46:53
149,Wanning,18.8003,110.3967,82.85,81,92,4.21,CN,2022-06-28 23:46:54
150,Chokurdakh,70.6333,147.9167,48.99,46,22,13.0,RU,2022-06-28 23:46:54
151,Dikson,73.5069,80.5464,32.58,97,93,16.37,RU,2022-06-28 23:46:55
152,Morondava,-20.2833,44.2833,65.77,52,0,14.41,MG,2022-06-28 23:46:55
