City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
73,Saint George,US,85.14,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
74,Hobart,AU,58.23,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
75,Russell,US,78.08,scattered clouds,32.3502,-85.1999,Macs
76,Kaitangata,NZ,52.74,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
77,Yar-Sale,RU,45.75,overcast clouds,66.8333,70.8333,Yalemd
78,Puerto Ayora,EC,70.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
79,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
80,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
81,Kanpur,IN,95.7,few clouds,26.4667,80.35,Little Chef Hotel
82,Rorvik,NO,54.46,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
83,Banat,IN,94.23,scattered clouds,29.4667,77.35,"Pathak Bhawan ,Rishto Ka Sansar"
84,Sitka,US,60.55,overcast clouds,57.0531,-135.33,Westmark Sitka
85,Sept-Iles,CA,60.8,mist,50.2001,-66.3821,Comfort Inn
86,Broome,US,67.64,broken clouds,42.2506,-75.833,Chenango Valley State Park
87,Port Alfred,ZA,57.18,few clouds,-33.5906,26.891,The Halyards Hotel
88,Bengkulu,ID,83.16,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
89,Avera,US,80.55,overcast clouds,33.194,-82.5271,
90,Lasa,IT,60.37,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
91,Port Elizabeth,ZA,59.29,overcast clouds,-33.918,25.5701,39 On Nile Guest House
92,Ambilobe,MG,70.23,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
93,Gushikawa,JP,79.83,light rain,26.3544,127.8686,Kirari Guest House
94,Saint-Pierre,RE,71.91,clear sky,-21.3393,55.4781,Alize Plage
95,Kenora,CA,61.77,few clouds,49.8167,-94.4337,Maynard Lake Lodge
96,East London,ZA,59.94,clear sky,-33.0153,27.9116,Tu Casa
97,Karasuk,RU,65.25,broken clouds,53.7377,78.0403,London Siti Otel'
98,Sisimiut,GL,45.34,few clouds,66.9395,-53.6735,Hotel Sisimiut
99,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
100,Balkanabat,TM,84.0,overcast clouds,39.5108,54.3671,Nebitchi Hotel
101,Hobyo,SO,77.07,broken clouds,5.3505,48.5268,Iftin hotel hobyo
102,Ossora,RU,50.74,overcast clouds,59.2353,163.0719,
103,Husavik,IS,43.74,light rain,66.0449,-17.3389,Bjarnabúð
104,Amahai,ID,81.43,light rain,-3.3333,128.9167,HOTEL ISABELA
105,Kruisfontein,ZA,56.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
106,Takaungu,KE,71.87,broken clouds,-3.6837,39.8566,Takaungu House
107,Yellowknife,CA,63.12,few clouds,62.456,-114.3525,The Explorer Hotel
108,Candido De Abreu,BR,58.77,clear sky,-24.5669,-51.3333,Hotel Recanto
109,Tateyama,JP,80.51,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
110,Thompson,CA,57.36,overcast clouds,55.7435,-97.8558,Burntwood Hotel
111,Mar Del Plata,AR,39.94,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
